"ORF"	"alle"	"site"	"abn"	"t1"	"t2"	"t3"	"t4"	"t5"	"tot"	"pos"	"strand"	"fitted"	"fitted1"	"fitted2"	"sterr"	"sterr1"	"sterr2"	"pval"	"pval1"	"pval2"	"rmse"	"rmse1"	"rmse2"	"qlty"
"71"	"talB"	"talB-4"	8810	15	311	569	415	232	252	1779	0.602308499475341	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"73"	"talB"	"talB-5"	9018	12	282	338	397	287	276	1580	0.820566631689402	"F"	-0.00647541460581918	-0.00618637317701	-0.0058358024007149	0.00615310716676619	0.00620279123480863	0.00618114291248659	0.369904882986259	0.392098145054978	0.414755384215117	123.996524873301	63.2000524869471	52.0768083169994	0
"79"	"IR8"	"IR8-4"	9262	2	69	90	97	76	89	421	0.63716814159292	"F"	0.0017880127880895	0.00171796984966389	0.0016464703388248	0.00509796878799542	0.00496410877387964	0.00482084432557196	0.748973776289774	0.75213283446714	0.755226526079532	695.955567681658	1451.69120557802	146.583309904246	0
"81"	"mogA"	"mogA-1"	9309	9	65	98	113	75	83	434	0.00851788756388416	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"85"	"mogA"	"mogA-3"	9551	4	35	19	42	18	14	128	0.420783645655877	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"87"	"mogA"	"mogA-4"	9693	10	119	147	116	86	162	630	0.662691652470187	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"89"	"mogA"	"mogA-5"	9788	7	118	149	172	100	119	658	0.824531516183986	"F"	-0.00905277128067824	-0.00925528490713459	-0.00945220305132765	0.00230057106797424	0.00230871426254998	0.00231142193659896	0.0292328216021519	0.0278469006919914	0.026430831306847	2149.38401037609	561.243965563207	352.561465984047	0
"91"	"yaaH"	"yaaH-1"	9927	6	56	113	77	58	55	359	0.00176678445229682	"C"	-0.01352459558497	-0.0137921430921369	-0.0139206909351003	0.00987321391534293	0.0108366477388365	0.0118108488624238	0.264261112877533	0.292794264818824	0.323515222934165	11.8800465117475	15.7232036672951	22.8192897202598	0
"93"	"yaaH"	"yaaH-3"	10156	6	125	181	187	190	256	939	0.406360424028269	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"95"	"yaaH"	"yaaH-4"	10278	7	53	87	79	57	89	365	0.621908127208481	"C"	0.00608475038503894	0.00665116101906214	0.0071323493247542	0.00603927006659368	0.00574353458285057	0.0054393270008625	0.38789998344665	0.330671908982963	0.281103050562344	18.2925785677227	18.6956883381964	20.9603617586274	0
"97"	"yaaH"	"yaaH-5"	10381	9	168	312	340	229	209	1258	0.803886925795053	"C"	-0.00108700869092881	-0.000355061800621225	0.000431497943533565	0.00798029745338499	0.00816009669971114	0.00821393329842362	0.900280734371629	0.968027582074286	0.96140679429771	66.3328440007402	66.5689256748967	75.4186816012433	0
"107"	"IR10"	"IR10-5"	10634	2	11	13	9	4	1	38	0.959183673469388	"F"	-0.093066158057032	-0.063630736825281	-0.0517523971083752	0.022801526343645	0.0153515016175756	0.00864340440298613	0.0265634076546769	0.0255070089141428	0.00932728964380449	122.390274571815	167.608662483683	239.284459754823	0
"111"	"htpY"	"htpY-2"	10824	2	32	16	14	14	18	94	0.256661991584853	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"113"	"htpY"	"htpY-3"	10955	5	130	170	162	132	132	726	0.44039270687237	"C"	-0.00666282005356049	-0.0064437495565408	-0.00613331176799403	0.00629571062285204	0.00621069148815384	0.00608527806229972	0.367586662271543	0.375774893613477	0.38775117731062	24.1230455162602	21.6421482794328	21.7137736742918	0
"115"	"htpY"	"htpY-4"	11125	4	31	41	71	40	67	250	0.678821879382889	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"117"	"htpY"	"htpY-5"	11225	5	88	129	208	124	143	692	0.819074333800841	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"121"	"yaaI"	"yaaI-1"	11430	2	55	51	63	28	37	234	0.123762376237624	"C"	-0.0244662574313726	-0.026282028178937	-0.0277491185568362	0.00750061816114643	0.00726744171559392	0.00702267337669117	0.0470639961713526	0.0363391964344467	0.0289184066476485	32.9929313452376	65.3742903050428	108.20987450734	0
"123"	"yaaI"	"yaaI-2"	11466	6	39	46	56	37	21	199	0.212871287128713	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"125"	"yaaI"	"yaaI-3"	11587	6	138	183	165	106	148	740	0.512376237623762	"C"	-0.00940104280190944	-0.00975925943758015	-0.0100280648714391	0.00530327620850283	0.00497569047715363	0.00466610042600587	0.174394835044801	0.144656183784186	0.120806848365247	360.941676056986	3296.76179244983	5867.34262014935	0
"127"	"yaaI"	"yaaI-5"	11706	4	53	69	90	61	93	366	0.806930693069307	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"133"	"IR12"	"IR12-4"	12038	4	53	48	71	20	16	208	0.674666666666667	"F"	-0.0526370355760871	-0.0451126950064661	-0.0352735884756721	0.0136815096152294	0.015873327624327	0.0161734859028206	0.0309963333125425	0.0655362569548942	0.117244357291636	148.209866072727	14.7656255227064	109.892002143117	0
"135"	"IR13"	"IR13"	14098	2	98	58	78	36	21	291	0.229885057471264	"F"	-0.0573427252464727	-0.0576732182837102	-0.0583963746918653	0.0144485749228367	0.0138221367006065	0.0129816079262274	0.0285888555527562	0.0250635719961054	0.0205100922237154	10.3937173591855	49.0880496970766	919.034894900944	0
"139"	"dnaJ"	"dnaJ-4"	14955	2	15	7	7	1	0	30	0.698230088495575	"F"	-0.125881691682832	-0.11485148000665	-0.111874771314722	0.0261554355715232	0.02356863770016	0.0218666215452125	0.0405630282161754	0.0396249163635878	0.036144591417616	435.805649695433	24.9549817261386	7071.28743090692	0
"141"	"IR14"	"IR14-2"	15337	4	38	70	56	23	53	240	0.275862068965517	"F"	-0.0097288581111601	-0.00714150957438663	-0.00536841318223516	0.0146584636419812	0.0128452880780639	0.0111620319613802	0.554329179131446	0.61700968496638	0.663447685990703	500.411199813925	104.240507275466	48.5204126136334	0
"145"	"mokC"	"hokC-4"	16856	1	42	78	78	60	60	318	0.511961722488038	"C"	0.00375391867683	0.00390581580184189	0.00408938161637996	0.00639472236153474	0.00670881978519729	0.00698437681228943	0.598434725608183	0.601303685546049	0.599339934434047	147.895541591232	82.48440244378	51.6758628948141	0
"147"	"mokC"	"hokC-5"	16889	2	54	124	110	48	60	396	0.669856459330144	"C"	-0.0138944914515894	-0.0149428867654287	-0.0158437677831459	0.0116802538744008	0.0131119961032953	0.0145187882106694	0.31978189980901	0.337192278876225	0.354960669627836	38.7730177812872	44.0722106383328	65.1528666775445	0
"151"	"mokC"	"mokC-3"	16856	1	42	78	78	60	60	318	0.511961722488038	"C"	0.00375391867683	0.00390581580184189	0.00408938161637996	0.00639472236153474	0.00670881978519729	0.00698437681228943	0.598434725608183	0.601303685546049	0.599339934434047	147.895541591232	82.48440244378	51.6758628948141	0
"153"	"mokC"	"mokC-4"	16889	3	60	133	114	52	75	434	0.669856459330144	"C"	-0.0102456462962519	-0.0113293055076651	-0.0124488962472961	0.0106059669793332	0.0115168700604793	0.0124214423466376	0.405290046782819	0.397791438846193	0.390089317245874	129.151260167093	10278.5147436105	1266.53210087122	0
"155"	"mokC"	"mokC-5"	16931	5	132	229	250	196	140	947	0.870813397129187	"C"	-0.00363457830682509	-0.000149353241137532	0.00360051291655221	0.0115016035708912	0.0120378911108178	0.0120454224540545	0.772707437734873	0.990879915191011	0.784517817537356	332.481817999744	2470.69598206816	932.041278639012	0
"157"	"IR16"	"IR16-1"	16960	14	190	266	292	163	183	1094	0.00189393939393939	"F"	-0.0117110069627497	-0.011415939137009	-0.0111116544212951	0.00191739905054921	0.00193248616488921	0.0019435212146736	0.00881912998087797	0.0096873208521933	0.0106175866966343	118.210968055788	115.385015273155	117.352977228756	0
"165"	"IR16"	"IR16-5"	17400	5	25	21	14	10	10	80	0.835227272727273	"F"	-0.0423678915112953	-0.0476285531064209	-0.0513704386187002	0.0113379107232904	0.0101848404522652	0.00948977756656717	0.0334172413569349	0.0184709355368599	0.0123640460161108	46.147709477845	57.9816885214781	73.9570035815161	0
"173"	"nhaR"	"nhaR-1"	18730	15	144	180	174	123	191	812	0.0176795580110497	"F"	-0.000592567484937438	-0.000541352515065185	-0.000488127677127592	0.00766454728845338	0.00722473167111194	0.00676852756032979	0.943242326459866	0.944986833891394	0.947047401465591	69.5334460091989	57.5686852212482	55.0746150608202	0
"175"	"nhaR"	"nhaR-2"	18923	9	88	133	101	54	61	437	0.230939226519337	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"177"	"nhaR"	"nhaR-3"	19132	8	118	118	138	112	153	639	0.461878453038674	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"179"	"nhaR"	"nhaR-4"	19337	4	35	69	52	31	40	227	0.688397790055249	"F"	-0.0109750173746785	-0.011833584133304	-0.012618343671321	0.0078340298039215	0.00873243078036548	0.00968204347325178	0.255754274944992	0.268383884569763	0.283484913501235	26.6127006543323	69.4736829951887	388.330991687627	0
"181"	"nhaR"	"nhaR-5"	19452	9	52	64	60	49	59	284	0.815469613259668	"F"	-0.0035959152657275	-0.00409174983301226	-0.00450553446268215	0.00718190230856003	0.00662040782894805	0.00607695291912666	0.651015117349912	0.580291356073432	0.512206885297858	34.5245877516896	29.5807712239306	29.4441400784561	0
"183"	"IR18"	"IR18"	19654	2	12	22	12	9	4	59	0.918918918918919	"F"	-0.0494629863407214	-0.0382155713707707	-0.0284246246402256	0.0181527953127736	0.0188088459215555	0.0188817716016728	0.0722555922745078	0.135111053535763	0.229291600230995	117.738142172478	34.9487645837656	54.1900915987369	0
"187"	"ECB_00020"	"ECB_00020-2"	19891	1	17	22	15	19	12	85	0.2429614181439	"C"	-0.0160375642861211	-0.0117329049748566	-0.00668030206171814	0.0164276860202675	0.0160534397343832	0.0146336729853872	0.400938914262061	0.517769597183753	0.679052110359025	415.713246302618	710.724380374575	190.38630516721	0
"191"	"ECB_00020"	"ECB_00020-4"	20267	1	10	4	3	2	4	23	0.635036496350365	"C"	-0.0422648240252438	-0.0570103727144572	-0.059733782748084	0.0294789282304558	0.0247028604385776	0.020978895105555	0.247107359003734	0.104236414368697	0.0652521576503825	65.3295752412141	324.956445160483	1636.4231102591	0
"197"	"ECB_00021"	"ECB_00021-2"	20892	4	29	25	25	21	21	121	0.22882096069869	"C"	-0.0159860611866972	-0.0189642859995642	-0.0209895985959105	0.0115983459823163	0.0109620969883828	0.0100659351917167	0.261913513237106	0.182069832969403	0.128362177844672	36.0956879822144	88.275136991015	270.940580421675	0
"199"	"ECB_00021"	"ECB_00021-3"	21129	11	62	73	66	41	59	301	0.435807860262009	"C"	-0.0135531913021359	-0.0144598532200042	-0.0151757513061306	0.00684854584825489	0.00645088575886343	0.0060774796420087	0.142197324440371	0.110804254563511	0.0879353594358719	137.399688081059	65.9331541424818	58.3253138372787	0
"203"	"ECB_00021"	"ECB_00021-5"	21599	5	13	29	22	9	20	93	0.846288209606987	"C"	-0.00748052886421642	-0.0063401993301094	-0.00601490149263115	0.0156058118402323	0.014747486153595	0.0138728016785688	0.664468654057354	0.696266168516056	0.693882687646157	2872.211344114	91.5731827913737	41.8131167297739	0
"215"	"ECB_00022"	"ECB_00022-2"	22443	2	15	24	10	1	0	50	0.333806818181818	"C"	-0.136872020035693	-0.072224308376958	-0.0299376710635149	0.0478485002529199	0.0489815873865836	0.0383795060165191	0.103569852663993	0.278288712685504	0.517023576684909	19.6550876707662	86.632303125291	2742.51370817809	0
"217"	"ECB_00022"	"ECB_00022-3"	22495	3	18	17	12	4	2	53	0.407670454545455	"C"	-0.091248613071169	-0.0796379749923684	-0.0716653382419718	0.00923462388973611	0.00777840757655793	0.00538819234221983	0.00220426600128358	0.00198639052370122	0.000918553442629696	101.767530820263	168145.889396326	124.961913579057	0
"231"	"ECB_00025"	"ECB_00025-2"	24159	3	19	17	28	11	12	87	0.3	"C"	-0.0238940791428972	-0.0241844956618789	-0.023264455834533	0.0108906790796879	0.0112392186484644	0.0113363700637021	0.115820655544567	0.120503746397906	0.132484294445643	44.0069207619918	15.755587546889	14.2951883043219	0
"233"	"ECB_00025"	"ECB_00025-3"	24200	1	10	8	11	6	7	42	0.417142857142857	"C"	-0.0187201323199294	-0.0221560383781488	-0.0247099139779329	0.00997068546495984	0.00937349071180221	0.00855622887411108	0.157080351803021	0.099068059147282	0.0631186558833044	1146.52209109932	6860.13139955496	70065.8326329738	0
"239"	"IR23"	"IR23-3"	24620	7	85	132	126	103	73	519	0.446985446985447	"F"	-0.0114657530016108	-0.00781548504407965	-0.00403963020500388	0.0104145929681514	0.0107271915363558	0.0104995871232333	0.351335675719456	0.51898786789779	0.726083146469198	291.7287073432	155.265002834681	301.347609812653	0
"241"	"IR23"	"IR23-4"	24699	10	136	161	198	169	223	887	0.611226611226611	"F"	0.0121794637888541	0.0120780171945003	0.0118459711181892	0.0079342122099227	0.00730208788706085	0.00670625476966988	0.222335620042703	0.196690099245884	0.175499966948825	23.0003381798773	26.4377952154457	32.0747283110639	0
"247"	"yaaY"	"yaaY-1"	25269	4	18	31	24	7	4	84	0.073394495412844	"F"	-0.0705283800753964	-0.0527083584445018	-0.0328968632230756	0.0180594902916453	0.0213062229994276	0.021448596679066	0.0298147570652394	0.0897576850700909	0.222636268178816	483.449109910775	44.1182054968083	262.810734631753	0
"249"	"yaaY"	"yaaY-5"	25437	2	20	15	19	18	17	89	0.844036697247706	"F"	-107	NA	-107	-107	-107	-107	-107	-107	-107	-107	-107	-107	0
"259"	"IR29"	"IR29"	31305	3	45	21	30	21	17	134	0.078125	"F"	-0.0333887682302526	-0.0432714843854494	-0.0476570595631212	0.0196405235503987	0.0173239037684428	0.0145371822128627	0.187691824258696	0.0878776868132156	0.0464857586069981	1527.65774516175	525.919356626192	2770.18626072047	0
"261"	"rihC"	"rihC-1"	31478	3	17	11	9	15	13	65	0.12363238512035	"F"	-0.0073777928007793	-0.0122257230804254	-0.013790402507586	0.025639179397994	0.0207035368167421	0.01561813713883	0.792268137522141	0.596379153653942	0.442273623820582	31.2751221705261	19934.5019860914	194.0122724461	0
"263"	"rihC"	"rihC-2"	31576	5	57	35	73	30	51	246	0.230853391684902	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"265"	"rihC"	"rihC-3"	31748	8	112	163	188	176	196	835	0.419037199124726	"F"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"269"	"rihC"	"rihC-5"	32101	4	112	100	120	96	89	517	0.805251641137856	"F"	-0.0111445880191912	-0.0128515302231942	-0.0139380810674185	0.010840103704033	0.0104382350772166	0.00975445848926932	0.379549978838285	0.305967200361827	0.248362767345959	40.8122890477692	75.2329284495961	128.056859233142	0
"273"	"IR30"	"IR30-3"	32347	3	10	29	20	5	15	79	0.406060606060606	"F"	-0.0168195431794645	-0.0146331033005437	-0.0153798063731326	0.026051324514333	0.0235504921768776	0.0218380009275193	0.564499903831759	0.578385320775976	0.53201266227162	53.4513857791619	2111.41544331689	1019.69014663454	0
"277"	"carB"	"carB-3"	36513	2	16	2	0	1	2	21	0.504501707544241	"F"	-0.0780504612256149	-0.108648686289262	-0.108883771956587	0.0516684320051866	0.0414299412880502	0.0385936846371205	0.269986442807615	0.119825460908038	0.106025907968187	36.2191149061284	841.023059166124	18305.4526718437	0
"279"	"carB"	"carB-5"	38107	2	24	20	26	16	11	97	0.999379074821484	"F"	-0.0304364798622736	-0.0294369906840892	-0.0286919008648976	0.0116699821167636	0.0111260794558111	0.0102388685575189	0.0798156746868326	0.0772733898554802	0.0677261927602404	48.2538156135124	166.048482677558	5121.49133895118	0
"285"	"ESCRE0039"	"ESCRE0039-2"	38200	3	11	25	20	17	13	86	0.240223463687151	"C"	-0.00363708893510598	-0.00265785150275109	-0.00166758836148275	0.0129468680332046	0.0138453958376157	0.0142263832991633	0.79702912399858	0.860027451255938	0.914094450622731	127.237411860537	39.8666328033815	18.7045351390953	0
"287"	"ESCRE0039"	"ESCRE0039-3"	38236	3	74	105	104	64	73	420	0.441340782122905	"C"	-0.0110749466324299	-0.0110382849282107	-0.0109978146480477	0.00118875202671632	0.00117865348467268	0.00117161368857684	0.00261814521346728	0.00257857361074099	0.00256117876049152	2.45017047380042	1.95918317052318	1.830734557454	0
"289"	"ESCRE0039"	"ESCRE0039-4"	38278	4	105	174	211	125	234	849	0.675977653631285	"C"	0.0160044949429104	0.0174767716465013	0.0188226449633265	0.00562018263012483	0.00565617495479234	0.00560450956185143	0.0652331256122492	0.0537196737764513	0.0437825383382108	334533.840855286	3841.31151167514	2039.87913173244	0
"293"	"caiF"	"caiF-1"	38372	6	36	54	61	37	42	230	0.00253164556962025	"F"	-0.00422357771619999	-0.00403583544812322	-0.00384388612588727	0.00222106983400497	0.00222471018859891	0.00222374412275128	0.153390081439947	0.167304407215439	0.182332024695446	1411636.80590673	207660.376738013	67479.0630497471	0
"295"	"caiF"	"caiF-2"	38511	2	91	126	104	82	84	487	0.354430379746835	"F"	-0.0121348857149416	-0.0121403002411793	-0.0119850795535985	0.00625455559215688	0.00585705640084171	0.00546611061187298	0.147687513025398	0.129898033953119	0.115970084452701	22.0500413151998	21.0115682596556	41.5864554591649	0
"301"	"caiF"	"caiF-5"	38715	4	27	37	37	27	26	154	0.870886075949367	"F"	-0.0091353271269935	-0.00852961532439917	-0.00788945596195658	0.00485154384563073	0.00489462763724979	0.00488864633560103	0.156235182637918	0.179754384096437	0.204967877714479	117.762574028299	78.9536329897952	78.1886328086445	0
"305"	"caiE"	"caiE-1"	38983	7	177	238	347	225	277	1264	0.0135593220338983	"C"	0.00934728078469558	0.00905525629498867	0.00871514366852584	0.00482119415221211	0.00464736207970663	0.00449770158886796	0.147886921988377	0.146492388659531	0.148046510579646	6.33209533614823	4.93955277116966	5.62833329181473	0
"307"	"caiE"	"caiE-2"	39133	3	24	6	6	6	1	43	0.267796610169492	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"311"	"caiE"	"caiE-4"	39376	5	120	213	222	120	220	895	0.679661016949153	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"313"	"caiE"	"caiE-5"	39459	6	196	309	300	259	316	1380	0.820338983050847	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
"321"	"caiD"	"caiD-4"	40161	6	40	82	91	55	68	336	0.660694288913774	"C"	0.00702457165905226	0.00585880073779583	0.00463982040479195	0.00593144326075996	0.00598627003103154	0.00594272786580876	0.321578089438154	0.399901126048074	0.491889407838482	91526.7496983908	9976.46036048979	3085.79158329098	0
"327"	"caiC"	"caiC-2"	40815	5	55	55	63	52	30	255	0.223214285714286	"C"	-105	NA	-105	-105	-105	-105	-105	-105	-105	-105	-105	-105	0
